Zipcode,Population,Household Income,Per Capita Income,Borough,Crime Rate
10038,20082.0,66074.0,58768.0,Manhattan,Very High
10039,26577.0,33595.0,19675.0,Manhattan,Very High
10040,44825.0,42721.0,23593.0,Manhattan,Very High
10044,12346.0,83066.0,43053.0,Manhattan,Very High
10065,32797.0,115519.0,119546.0,Manhattan,Very High
10075,24849.0,102941.0,106575.0,Manhattan,Very High
10128,60121.0,96296.0,89300.0,Manhattan,Very High
10280,8685.0,129574.0,82005.0,Manhattan,Very High
11201,54668.0,95369.0,68814.0,Bronklyn,Extremely High
11203,79572.0,48400.0,22227.0,Bronklyn,Extremely High
11204,80963.0,45472.0,20161.0,Bronklyn,Extremely High
11205,43002.0,44688.0,26114.0,Bronklyn,Extremely High
11206,81525.0,28559.0,15618.0,Bronklyn,Extremely High
11207,92491.0,32945.0,15951.0,Bronklyn,Extremely High
11208,93107.0,35079.0,14870.0,Bronklyn,Extremely High
11209,72623.0,58261.0,35712.0,Bronklyn,Extremely High
11210,65302.0,55429.0,25079.0,Bronklyn,Extremely High
11211,93271.0,46848.0,27752.0,Bronklyn,Extremely High
11212,84520.0,28348.0,16535.0,Bronklyn,Extremely High
11213,62059.0,34794.0,18522.0,Bronklyn,Extremely High
11214,83156.0,43398.0,22683.0,Bronklyn,Extremely High
11215,68891.0,95654.0,56340.0,Bronklyn,Extremely High
11216,53783.0,43996.0,27218.0,Bronklyn,Extremely High
11217,38787.0,81862.0,51846.0,Bronklyn,Extremely High
11218,74758.0,52445.0,24081.0,Bronklyn,Extremely High
11219,96971.0,34316.0,14567.0,Bronklyn,Extremely High
11220,103089.0,37580.0,16263.0,Bronklyn,Extremely High
11221,81321.0,39178.0,18774.0,Bronklyn,Extremely High
11222,34186.0,63739.0,39515.0,Bronklyn,Extremely High
11223,74606.0,41328.0,22514.0,Bronklyn,Extremely High
11224,42535.0,27481.0,20666.0,Bronklyn,Extremely High
11225,59182.0,42922.0,22519.0,Bronklyn,Extremely High
11226,98325.0,40734.0,20721.0,Bronklyn,Extremely High
11228,43929.0,61893.0,29885.0,Bronklyn,Extremely High
11229,81030.0,51725.0,26575.0,Bronklyn,Extremely High
11230,84219.0,42170.0,23051.0,Bronklyn,Extremely High
11231,34137.0,78174.0,48757.0,Bronklyn,Extremely High
11232,28824.0,43595.0,19172.0,Bronklyn,Extremely High
11233,68599.0,34492.0,19859.0,Bronklyn,Extremely High
11234,94259.0,68431.0,29482.0,Bronklyn,Extremely High
11235,74630.0,41639.0,28133.0,Bronklyn,Extremely High
11236,97217.0,61061.0,24394.0,Bronklyn,Extremely High
11237,55478.0,40372.0,17134.0,Bronklyn,Extremely High
11238,51895.0,65315.0,40055.0,Bronklyn,Extremely High
11239,12879.0,26275.0,18494.0,Bronklyn,Extremely High
10451,47069.0,26754.0,14629.0,Bronx,High
10452,74931.0,25979.0,13019.0,Bronx,High
10453,79793.0,25470.0,12616.0,Bronx,High
10454,38089.0,20232.0,11561.0,Bronx,High
10455,38576.0,22609.0,12231.0,Bronx,High
10456,87723.0,23452.0,12486.0,Bronx,High
10457,70282.0,24949.0,12952.0,Bronx,High
10458,74859.0,24618.0,14488.0,Bronx,High
10459,47977.0,24461.0,12436.0,Bronx,High
10460,56084.0,22307.0,12828.0,Bronx,High
10461,51730.0,52347.0,26630.0,Bronx,High
10462,77369.0,45864.0,21836.0,Bronx,High
10463,70420.0,54258.0,30875.0,Bronx,High
10464,4248.0,70078.0,39454.0,Bronx,High
